iter	Logloss
0	0.6797288005
1	0.6668924764
2	0.6547596232
3	0.6432185465
4	0.6324623657
5	0.6218849894
6	0.6117188436
7	0.6025064819
8	0.5934980509
9	0.5847078247
10	0.577105188
11	0.5694653931
12	0.5620621541
13	0.5552885783
14	0.5484961141
15	0.5421972819
16	0.5364079671
17	0.5305259928
18	0.525074939
19	0.5199898682
20	0.5153311971
21	0.510949353
22	0.5070118571
23	0.5029577738
24	0.4991664388
25	0.4957036702
26	0.4922280314
27	0.4889706095
28	0.4856640361
29	0.4826813558
30	0.4797793884
31	0.4769954
32	0.4742407206
33	0.4716958842
34	0.4692762756
35	0.4671004252
36	0.4649439535
37	0.4628994934
38	0.460985437
39	0.4589637878
40	0.4570975281
41	0.4553062032
42	0.4535292033
43	0.4520699056
44	0.4504237162
45	0.4490177979
46	0.4474175944
47	0.4460439067
48	0.444751357
49	0.4435159729
50	0.4423438721
51	0.4411262268
52	0.4400041341
53	0.4390498047
54	0.4380037618
55	0.4367913127
56	0.4359036397
57	0.4348039449
58	0.4338213359
59	0.4327877401
60	0.4319195211
61	0.43105837
62	0.4302311056
63	0.4294750875
64	0.4287560303
65	0.4279976563
66	0.427229067
67	0.4264965495
68	0.4257246643
69	0.4250241333
70	0.4244578918
71	0.4238900391
72	0.4233756104
73	0.4228574015
74	0.4222367676
75	0.4215909241
76	0.4210139933
77	0.4205778748
78	0.4200702616
79	0.4195741007
80	0.4190499919
81	0.4185507467
82	0.4180726542
83	0.4176138306
84	0.4172429545
85	0.4167527242
86	0.4163256388
87	0.4158764303
88	0.4154339579
89	0.4150335612
90	0.4146187581
91	0.4142980306
92	0.4139558329
93	0.4135635885
94	0.4132477519
95	0.4129176147
96	0.412573763
97	0.4121779358
98	0.411813857
99	0.4114326131
100	0.4111153341
101	0.4108262756
102	0.4105517476
103	0.4102576416
104	0.4099713603
105	0.4096673564
106	0.4093705566
107	0.4090605001
108	0.4088041504
109	0.4085216817
110	0.408210317
111	0.407968514
112	0.4077316121
113	0.4074867147
114	0.4072581055
115	0.4070196187
116	0.4067973389
117	0.4065595418
118	0.4062733724
119	0.406045223
120	0.4058817566
121	0.4056664754
122	0.4054391113
123	0.4051846965
124	0.4049885396
125	0.4047841777
126	0.404558018
127	0.4042893392
128	0.4040419352
129	0.4038580546
130	0.4036375407
131	0.4034453674
132	0.403213387
133	0.402975946
134	0.4027879333
135	0.4026269267
136	0.4024267924
137	0.4022817851
138	0.4020487467
139	0.4019361165
140	0.4017273132
141	0.4014618713
142	0.4013008993
143	0.4011210937
144	0.4009818461
145	0.400814563
146	0.4006668905
147	0.4004918457
148	0.4003276042
149	0.4001398214
150	0.399970754
151	0.3998294047
152	0.3996338928
153	0.3994798055
154	0.3992834167
155	0.399153363
156	0.398972408
157	0.3987797506
158	0.3986688273
159	0.3985016052
160	0.3983675293
161	0.3982093079
162	0.3980324219
163	0.3979177856
164	0.3977517782
165	0.3976555705
166	0.3975204692
167	0.3973384623
168	0.3972137187
169	0.3970892131
170	0.3969667236
171	0.3968702413
172	0.3967659831
173	0.3966038208
174	0.3964655904
175	0.3964009847
176	0.396309963
177	0.3961897034
178	0.3960544006
179	0.3959270365
180	0.3957353984
181	0.3955992737
182	0.395462734
183	0.395313088
184	0.3951576742
185	0.395045575
186	0.3949681071
187	0.3948801147
188	0.3947505452
189	0.3946232178
190	0.3944971232
191	0.3943946167
192	0.3942508179
193	0.3941049438
194	0.3939503031
195	0.3937982402
196	0.3937177531
197	0.393595634
198	0.3935054179
199	0.3933248861
200	0.3932237244
201	0.3930435303
202	0.392877948
203	0.3926758138
204	0.3925616923
205	0.3924755269
206	0.3923585693
207	0.3922622599
208	0.3920891927
209	0.391988031
210	0.3918434428
211	0.3917048686
212	0.3916004354
213	0.3915212118
214	0.3913899373
215	0.391285319
216	0.3911873494
217	0.3910533529
218	0.39092288
219	0.3907929179
220	0.3907125936
221	0.3906169942
222	0.3905477437
223	0.3904064168
224	0.3903061157
225	0.390234375
226	0.3901304036
227	0.3899953512
228	0.3898937988
229	0.3898052002
230	0.3897230489
231	0.3896610107
232	0.389532843
233	0.3894635518
234	0.3893550741
235	0.3892194885
236	0.389118278
237	0.3890176676
238	0.3889106242
239	0.388842157
240	0.3887484172
241	0.3886397929
242	0.3885488403
243	0.3884480489
244	0.3883409831
245	0.3882721354
246	0.3881673706
247	0.388054895
248	0.3879685486
249	0.3878990316
250	0.3878240234
251	0.38773196
252	0.3876474711
253	0.3875187805
254	0.3874686605
255	0.3874166748
256	0.3872730632
257	0.3871687663
258	0.3870336405
259	0.3869602885
260	0.3868332153
261	0.3867398376
262	0.3867026794
263	0.3866281942
264	0.3865170329
265	0.3864198751
266	0.3863416687
267	0.3862553853
268	0.3861570577
269	0.3860706034
270	0.3859784342
271	0.3858480815
272	0.3857641012
273	0.3856965678
274	0.3856227376
275	0.3855209127
276	0.3854360921
277	0.3853050618
278	0.3851979187
279	0.3851250081
280	0.3849775594
281	0.3848867574
282	0.3848366414
283	0.3847373596
284	0.3846604635
285	0.3846081034
286	0.384526591
287	0.3844271688
288	0.384257607
289	0.3841525533
290	0.3840670024
291	0.3839892029
292	0.3839059428
293	0.3838499084
294	0.3837598104
295	0.3836638794
296	0.3835317403
297	0.3834640991
298	0.3833900289
299	0.3833101034
300	0.3832178691
301	0.3831603109
302	0.3829934835
303	0.3829142598
304	0.3828618408
305	0.3827984884
306	0.3827058797
307	0.3826198527
308	0.3825516561
309	0.3824814779
310	0.382368396
311	0.3822486003
312	0.3821814962
313	0.3820764689
314	0.3820288961
315	0.3820028341
316	0.381927537
317	0.3818188721
318	0.381729834
319	0.3816217855
320	0.3815641622
321	0.3814705505
322	0.3814284831
323	0.3813297648
324	0.3812467875
325	0.3811583944
326	0.3810324219
327	0.3809563212
328	0.3808988363
329	0.3808537984
330	0.3807783488
331	0.3807248759
332	0.3806910787
333	0.3805963888
334	0.3805023031
335	0.3804057699
336	0.3803584513
337	0.3803174072
338	0.3802766927
339	0.380184255
340	0.3801336426
341	0.380072347
342	0.3799802165
343	0.3799207153
344	0.3798409627
345	0.3797527201
346	0.3796737244
347	0.3795641378
348	0.3794813192
349	0.379444279
350	0.3793314412
351	0.379222172
352	0.3790843282
353	0.379009493
354	0.37894422
355	0.3788568278
356	0.3787837443
357	0.3786985026
358	0.3786014648
359	0.3785370748
360	0.3783894348
361	0.3783207174
362	0.3782463664
363	0.3781814555
364	0.3781102071
365	0.3780517476
366	0.3779431641
367	0.37789481
368	0.3777848999
369	0.3777199097
370	0.3776200338
371	0.3775649353
372	0.3775152242
373	0.3774490784
374	0.3773677205
375	0.3772998128
376	0.3772643026
377	0.377194633
378	0.3771393921
379	0.3770578796
380	0.3770135193
381	0.3769203979
382	0.3768387288
383	0.3767999227
384	0.3767418945
385	0.3766710978
386	0.3766400594
387	0.3765863302
388	0.3765123718
389	0.3764105937
390	0.3763050028
391	0.3762318522
392	0.3761815735
393	0.3760911174
394	0.3759998352
395	0.3759867249
396	0.3759231995
397	0.3758740092
398	0.3758251302
399	0.3757573568
400	0.3756553792
401	0.3755844666
402	0.3755395101
403	0.3754545288
404	0.3753495667
405	0.3752859823
406	0.3752017436
407	0.3751650777
408	0.3750476481
409	0.374959257
410	0.3748784973
411	0.3748201619
412	0.3747384115
413	0.3746667745
414	0.3746346293
415	0.3745720662
416	0.3744673177
417	0.3743905253
418	0.374316158
419	0.3742083354
420	0.3740980937
421	0.3740434062
422	0.3739810954
423	0.3739092082
424	0.3738292948
425	0.3737114726
426	0.3736607869
427	0.3735281169
428	0.3734437358
429	0.3733954976
430	0.3732775024
431	0.3732424927
432	0.3731217285
433	0.3729950968
434	0.3728809123
435	0.3728320007
436	0.3727597555
437	0.3726184204
438	0.3725278768
439	0.3724767883
440	0.3724340535
441	0.3723592692
442	0.3723082052
443	0.372231073
444	0.3721336772
445	0.3720430155
446	0.3719658081
447	0.3718628723
448	0.3718056254
449	0.371745518
450	0.3716830709
451	0.3716291097
452	0.3715654175
453	0.3715163066
454	0.3713860189
455	0.3712936239
456	0.3712586568
457	0.3712163961
458	0.3712058553
459	0.3711578389
460	0.371084196
461	0.3709704814
462	0.3709022563
463	0.3708611633
464	0.3708051127
465	0.3707359863
466	0.3706510824
467	0.3705423319
468	0.3705002197
469	0.370445109
470	0.3703581156
471	0.3702510132
472	0.3701754659
473	0.3701157003
474	0.3700740356
475	0.3700193827
476	0.3699285095
477	0.3698317627
478	0.3698081095
